Wavelength	10H00001.asd
325	 5.06025909815151E-05 
326	 6.39609423051786E-05 
327	 5.05113876526574E-05 
328	 1.51571149481864E-05 
329	 1.82153914190978E-05 
330	 3.06793057199796E-05 
331	 2.64311534191699E-05 
332	 3.2380096337606E-05 
333	 3.97632987566944E-05 
334	 1.70440527737203E-05 
335	-2.844236170067E-06 
336	-4.43809278825854E-06 
337	 1.95113713953958E-05 
338	 5.74234099953943E-05 
339	 9.56050246210168E-05 
340	 8.82193557646127E-05 
341	 4.76765542054121E-05 
342	 2.05708199058664E-05 
343	 1.48104208437559E-05 
344	 3.21115230317749E-05 
345	 5.37384045088134E-05 
346	 7.35799521946092E-05 
347	 8.72791600146497E-05 
348	 8.43112106092511E-05 
349	 7.23682590941023E-05 
350	 7.48500326102615E-05 
351	 8.00321914447671E-05 
352	 8.19567042091183E-05 
353	 7.73655079194837E-05 
354	 6.61075838627895E-05 
355	 4.8725567952627E-05 
356	 4.72741090196294E-05 
357	 6.00127723406146E-05 
358	 6.737708019978E-05 
359	 6.4705343311393E-05 
360	 5.15798443342132E-05 
361	 4.45848486953279E-05 
362	 4.97636083759647E-05 
363	 7.28438986747229E-05 
364	 8.30822916366126E-05 
365	 7.8186670735126E-05 
366	 8.52642512400199E-05 
367	 9.0929688060918E-05 
368	 8.6078113912996E-05 
369	 7.43835051051861E-05 
370	 6.34048115346047E-05 
371	 6.61607591668094E-05 
372	 6.53098851826797E-05 
373	 6.15591146451225E-05 
374	 8.39091869511921E-05 
375	 1.00844889767104E-04 
376	 8.77304472906484E-05 
377	 8.54501203286196E-05 
378	 9.50693950041842E-05 
379	 1.02504412211155E-04 
380	 1.0689230358323E-04 
381	 1.08221970877113E-04 
382	 1.12735166568799E-04 
383	 1.15453214281433E-04 
384	 1.11346740565668E-04 
385	 1.06731781561095E-04 
386	 1.06736302225756E-04 
387	 1.22570323240134E-04 
388	 1.30548638955961E-04 
389	 1.23139695223181E-04 
390	 1.24200235796434E-04 
391	 1.24931645268846E-04 
392	 1.12143965833938E-04 
393	 1.18941298431867E-04 
394	 1.45603084912517E-04 
395	 1.70861900429782E-04 
396	 1.81228369760397E-04 
397	 1.72631835768882E-04 
398	 1.79115191314895E-04 
399	 1.93771684815027E-04 
400	 1.98906321490052E-04 
401	 2.01677213596066E-04 
402	 2.06184592416238E-04 
403	 2.20687319647339E-04 
404	 2.35891792650407E-04 
405	 2.47071867091547E-04 
406	 2.8302594894936E-04 
407	 3.24334150595131E-04 
408	 3.19214256615464E-04 
409	 3.35858806904162E-04 
410	 3.8863410233048E-04 
411	 4.31048039443857E-04 
412	 4.70344497101657E-04 
413	 5.16957768192638E-04 
414	 5.86000210823328E-04 
415	 6.71905132743087E-04 
416	 7.50188051529353E-04 
417	 8.39216749823601E-04 
418	 9.49136164817042E-04 
419	 1.08498824072124E-03 
420	 1.24561291961447E-03 
421	 1.42781328462088E-03 
422	 1.63160663179199E-03 
423	 1.86090896755326E-03 
424	 2.1230841903344E-03 
425	 2.42266551774159E-03 
426	 2.76245757105672E-03 
427	 3.13436574374038E-03 
428	 3.54693948366937E-03 
429	 4.01739562635891E-03 
430	 4.52719766119069E-03 
431	 5.07788876716921E-03 
432	 5.69777920752915E-03 
433	 6.37824061966397E-03 
434	 7.11268415223718E-03 
435	 7.92548504736167E-03 
436	 8.8147858524408E-03 
437	 9.76264150243184E-03 
438	 1.07771304838921E-02 
439	 1.18563690977262E-02 
440	 0.012982533038864 
441	 1.41300333919157E-02 
442	 1.52699788753262E-02 
443	 1.63540514961519E-02 
444	 1.73268724595068E-02 
445	 1.81177092716295E-02 
446	 1.86582425642457E-02 
447	 1.88952863355134E-02 
448	 1.88477543189272E-02 
449	 1.85077373248665E-02 
450	 1.78519948752371E-02 
451	 1.69573301357695E-02 
452	 0.015894178141184 
453	 1.47734977577299E-02 
454	 0.013637281428492 
455	 1.25259690086313E-02 
456	 1.14843244777012E-02 
457	 1.05444239830995E-02 
458	 9.74128380286735E-03 
459	 9.04723520084329E-03 
460	 8.44396538630137E-03 
461	 7.91645674298809E-03 
462	 7.4430721221597E-03 
463	 6.99930985001863E-03 
464	 6.58153672006332E-03 
465	 6.18441586627603E-03 
466	 5.80222420440737E-03 
467	 5.4393237078985E-03 
468	 5.1005063564835E-03 
469	 4.79019574332841E-03 
470	 4.51171387400296E-03 
471	 4.26819795475795E-03 
472	 4.06342356309164E-03 
473	 3.89629842140487E-03 
474	 3.75393100541038E-03 
475	 3.64373328128894E-03 
476	 3.57282333516856E-03 
477	 3.51001007337403E-03 
478	 3.45578930786962E-03 
479	 3.43330398089681E-03 
480	 3.43287044207405E-03 
481	 3.44630244257128E-03 
482	 3.45731729492501E-03 
483	 3.46590093831989E-03 
484	 3.47515216662496E-03 
485	 3.50440984437002E-03 
486	 3.55156809997879E-03 
487	 3.58455920131722E-03 
488	 3.61771190394963E-03 
489	 3.66340477908225E-03 
490	 3.72280771943316E-03 
491	 3.79056151589065E-03 
492	 3.85465159130009E-03 
493	 3.91740147173963E-03 
494	 3.97968298756295E-03 
495	 4.04518557675871E-03 
496	 4.10925448316553E-03 
497	 4.16615280285315E-03 
498	 4.21766046694191E-03 
499	 4.26515339933326E-03 
500	 4.31165127779578E-03 
501	 4.35545964372415E-03 
502	 4.3962919607804E-03 
503	 4.44177376652348E-03 
504	 4.48572673331126E-03 
