"Wavelength","Value","Spectra","Subdir"
325," 1.25509880989096E-05 ","10H00000",""
326," 3.9357341001532E-05 ","10H00000",""
327," 4.27683827128629E-05 ","10H00000",""
328," 2.40346887490986E-05 ","10H00000",""
329," 2.08947947165354E-05 ","10H00000",""
330," 1.70032764565151E-05 ","10H00000",""
331,"-5.5037847834775E-07 ","10H00000",""
332," 2.73123490303974E-06 ","10H00000",""
333," 1.74146233742512E-05 ","10H00000",""
334," 7.47152309866949E-06 ","10H00000",""
335,"-1.13541764109479E-06 ","10H00000",""
336,"-5.12382440945486E-07 ","10H00000",""
337,"-3.00077473639191E-07 ","10H00000",""
338," 1.01157991186257E-05 ","10H00000",""
339," 3.80833981526937E-05 ","10H00000",""
340," 3.22300146522181E-05 ","10H00000",""
341," 2.5379551777146E-06 ","10H00000",""
342,"-5.79512633047585E-06 ","10H00000",""
343,"-7.05326396834502E-06 ","10H00000",""
344,"-1.48332904652173E-06 ","10H00000",""
345," 2.96792970598471E-05 ","10H00000",""
346," 6.26966034648407E-05 ","10H00000",""
347," 7.35940511809933E-05 ","10H00000",""
348," 6.98852594670152E-05 ","10H00000",""
349," 5.59500690726346E-05 ","10H00000",""
350," 3.40335234408993E-05 ","10H00000",""
351," 3.19331058915332E-05 ","10H00000",""
352," 5.32833821700828E-05 ","10H00000",""
353," 4.36177036711827E-05 ","10H00000",""
354," 2.52206353711501E-05 ","10H00000",""
355," 2.98765408130442E-05 ","10H00000",""
356," 3.29106917331228E-05 ","10H00000",""
357," 3.25131426398999E-05 ","10H00000",""
358," 4.09609732929842E-05 ","10H00000",""
359," 4.4406615226749E-05 ","10H00000",""
360," 3.75234596363481E-05 ","10H00000",""
361," 3.64891488909923E-05 ","10H00000",""
362," 4.19136447261596E-05 ","10H00000",""
363," 5.19772955448717E-05 ","10H00000",""
364," 5.51052824684731E-05 ","10H00000",""
365," 5.09134426549669E-05 ","10H00000",""
366," 5.09310695519081E-05 ","10H00000",""
367," 5.3525979417854E-05 ","10H00000",""
368," 5.66517998727642E-05 ","10H00000",""
369," 5.17041025520144E-05 ","10H00000",""
370," 4.55813883659278E-05 ","10H00000",""
371," 5.45744335934034E-05 ","10H00000",""
372," 4.60174409788412E-05 ","10H00000",""
373," 2.44443898134834E-05 ","10H00000",""
374," 5.63959745415327E-05 ","10H00000",""
375," 8.36697205058031E-05 ","10H00000",""
376," 5.92330772124914E-05 ","10H00000",""
377," 4.42450224524258E-05 ","10H00000",""
378," 4.77041810303148E-05 ","10H00000",""
379," 6.50423146499115E-05 ","10H00000",""
380," 8.11237630637721E-05 ","10H00000",""
381," 8.75813349004869E-05 ","10H00000",""
382," 7.93065265728644E-05 ","10H00000",""
383," 7.23166533359348E-05 ","10H00000",""
384," 8.23073516625924E-05 ","10H00000",""
385," 8.90573273616323E-05 ","10H00000",""
386," 9.20995474815051E-05 ","10H00000",""
387," 1.05259520516842E-04 ","10H00000",""
388," 9.85552937005616E-05 ","10H00000",""
389," 6.99465646186746E-05 ","10H00000",""
390," 8.7403076403663E-05 ","10H00000",""
391," 1.16566838861687E-04 ","10H00000",""
392," 1.08155786235624E-04 ","10H00000",""
393," 1.18251434799434E-04 ","10H00000",""
394," 1.46062514781079E-04 ","10H00000",""
395," 1.50132484753953E-04 ","10H00000",""
396," 1.43735156609186E-04 ","10H00000",""
397," 1.37645704004726E-04 ","10H00000",""
398," 1.54357549732934E-04 ","10H00000",""
399," 1.76741643324134E-04 ","10H00000",""
400," 1.73257516053108E-04 ","10H00000",""
401," 1.79934763775211E-04 ","10H00000",""
402," 2.0168320270314E-04 ","10H00000",""
403," 2.19470403121426E-04 ","10H00000",""
404," 2.29604410429555E-04 ","10H00000",""
405," 2.3238442326305E-04 ","10H00000",""
406," 2.55911184754576E-04 ","10H00000",""
407," 2.9297531611275E-04 ","10H00000",""
408," 3.19281302028999E-04 ","10H00000",""
409," 3.4877719674186E-04 ","10H00000",""
410," 3.84247224682143E-04 ","10H00000",""
411," 4.17655515115173E-04 ","10H00000",""
412," 4.55692323755184E-04 ","10H00000",""
413," 5.05652409093715E-04 ","10H00000",""
414," 5.7781333430171E-04 ","10H00000",""
415," 6.6359590830552E-04 ","10H00000",""
416," 7.32690552439504E-04 ","10H00000",""
417," 8.19510271704428E-04 ","10H00000",""
418," 9.39796811198479E-04 ","10H00000",""
419," 1.0863234267046E-03 ","10H00000",""
420," 1.24934988608104E-03 ","10H00000",""
421," 1.41638177548597E-03 ","10H00000",""
422," 1.61696439743253E-03 ","10H00000",""
423," 1.85784307804924E-03 ","10H00000",""
424," 2.13063913275346E-03 ","10H00000",""
425," 2.42958409544572E-03 ","10H00000",""
426," 2.75364485865241E-03 ","10H00000",""
427," 3.12327584574624E-03 ","10H00000",""
428," 3.54234324079802E-03 ","10H00000",""
429," 4.0114768920997E-03 ","10H00000",""
430," 4.51837601324166E-03 ","10H00000",""
431," 5.06683830524163E-03 ","10H00000",""
432," 5.68668532353748E-03 ","10H00000",""
433," 6.3725129088435E-03 ","10H00000",""
434," 7.11942814274626E-03 ","10H00000",""
435," 7.93285124001868E-03 ","10H00000",""
436," 8.81283069550571E-03 ","10H00000",""
437," 9.75539185584582E-03 ","10H00000",""
438," 1.07714250773292E-02 ","10H00000",""
439," 1.18585041069975E-02 ","10H00000",""
440," 1.29841345421306E-02 ","10H00000",""
441," 1.41251548599375E-02 ","10H00000",""
442," 1.52577769738525E-02 ","10H00000",""
443," 1.63523921154122E-02 ","10H00000",""
