"doy","t","temp","seas","thresh","threshCriterion","durationCriterion","event","event_no","missing","t_lead","temp_lead","missing_lead","linetype","variable"
211,2021-07-29,17.8123529770795,18.0781,19.1862,FALSE,FALSE,FALSE,NA,FALSE,2021-07-30,17.6996289665316,FALSE,"dashed","SST"
212,2021-07-30,17.6996289665316,18.0936,19.1944,FALSE,FALSE,FALSE,NA,FALSE,2021-07-31,18.0521173330454,FALSE,"dashed","SST"
213,2021-07-31,18.0521173330454,18.1064,19.2009,FALSE,FALSE,FALSE,NA,FALSE,2021-08-01,17.7597106933594,FALSE,"dashed","SST"
214,2021-08-01,17.7597106933594,18.1171,19.2013,FALSE,FALSE,FALSE,NA,FALSE,2021-08-02,17.5171447753906,FALSE,"dashed","SST"
215,2021-08-02,17.5171447753906,18.1267,19.2017,FALSE,FALSE,FALSE,NA,FALSE,2021-08-03,17.5942877633231,TRUE,"dashed","SST"
216,2021-08-03,17.5942877633231,18.1348,19.2047,FALSE,FALSE,FALSE,NA,TRUE,2021-08-04,17.6714307512556,TRUE,"solid","SST"
217,2021-08-04,17.6714307512556,18.1414,19.204,FALSE,FALSE,FALSE,NA,TRUE,2021-08-05,17.7485737391881,TRUE,"solid","SST"
218,2021-08-05,17.7485737391881,18.1462,19.2034,FALSE,FALSE,FALSE,NA,TRUE,2021-08-06,17.8257167271206,FALSE,"dashed","SST"
219,2021-08-06,17.8257167271206,18.1467,19.2006,FALSE,FALSE,FALSE,NA,FALSE,2021-08-07,15.7255385178786,FALSE,"dashed","SST"
220,2021-08-07,15.7255385178786,18.1445,19.1952,FALSE,FALSE,FALSE,NA,FALSE,2021-08-08,16.5645194420448,TRUE,"dashed","SST"
221,2021-08-08,16.5645194420448,18.1414,19.1906,FALSE,FALSE,FALSE,NA,TRUE,2021-08-09,17.4035003662109,FALSE,"dashed","SST"
222,2021-08-09,17.4035003662109,18.1362,19.1854,FALSE,FALSE,FALSE,NA,FALSE,2021-08-10,17.9135191151794,FALSE,"dashed","SST"
223,2021-08-10,17.9135191151794,18.1291,19.1795,FALSE,FALSE,FALSE,NA,FALSE,2021-08-11,17.8870328278701,TRUE,"dashed","SST"
224,2021-08-11,17.8870328278701,18.1206,19.1719,FALSE,FALSE,FALSE,NA,TRUE,2021-08-12,17.8605465405608,FALSE,"dashed","SST"
225,2021-08-12,17.8605465405608,18.109,19.1625,FALSE,FALSE,FALSE,NA,FALSE,2021-08-13,18.1630763127254,FALSE,"dashed","SST"
226,2021-08-13,18.1630763127254,18.0956,19.1513,FALSE,FALSE,FALSE,NA,FALSE,2021-08-14,18.1893973844597,FALSE,"dashed","SST"
227,2021-08-14,18.1893973844597,18.0813,19.1365,FALSE,FALSE,FALSE,NA,FALSE,2021-08-15,17.9289692966814,TRUE,"dashed","SST"
228,2021-08-15,17.9289692966814,18.0645,19.1202,FALSE,FALSE,FALSE,NA,TRUE,2021-08-16,17.668541208903,FALSE,"dashed","SST"
229,2021-08-16,17.668541208903,18.0464,19.1032,FALSE,FALSE,FALSE,NA,FALSE,2021-08-17,17.2896075188826,TRUE,"dashed","SST"
230,2021-08-17,17.2896075188826,18.0288,19.0868,FALSE,FALSE,FALSE,NA,TRUE,2021-08-18,16.9106738288622,TRUE,"solid","SST"
231,2021-08-18,16.9106738288622,18.011,19.0705,FALSE,FALSE,FALSE,NA,TRUE,2021-08-19,16.5317401388417,FALSE,"dashed","SST"
232,2021-08-19,16.5317401388417,17.9924,19.0532,FALSE,FALSE,FALSE,NA,FALSE,2021-08-20,17.2570782001202,FALSE,"dashed","SST"
233,2021-08-20,17.2570782001202,17.9729,19.0309,FALSE,FALSE,FALSE,NA,FALSE,2021-08-21,17.2333312988281,FALSE,"dashed","SST"
234,2021-08-21,17.2333312988281,17.9527,19.0086,FALSE,FALSE,FALSE,NA,FALSE,2021-08-22,16.7033359103733,FALSE,"dashed","SST"
235,2021-08-22,16.7033359103733,17.9287,18.9836,FALSE,FALSE,FALSE,NA,FALSE,2021-08-23,17.2960235963385,FALSE,"dashed","SST"
236,2021-08-23,17.2960235963385,17.9062,18.9593,FALSE,FALSE,FALSE,NA,FALSE,2021-08-24,17.4892767113375,FALSE,"dashed","SST"
237,2021-08-24,17.4892767113375,17.8832,18.9346,FALSE,FALSE,FALSE,NA,FALSE,2021-08-25,17.4977981826007,FALSE,"dashed","SST"
238,2021-08-25,17.4977981826007,17.859,18.9101,FALSE,FALSE,FALSE,NA,FALSE,2021-08-26,16.7384605994591,FALSE,"dashed","SST"
239,2021-08-26,16.7384605994591,17.8369,18.8886,FALSE,FALSE,FALSE,NA,FALSE,2021-08-27,17.5925673201278,FALSE,"dashed","SST"
240,2021-08-27,17.5925673201278,17.8131,18.8668,FALSE,FALSE,FALSE,NA,FALSE,2021-08-28,17.7997592420463,FALSE,"dashed","SST"
241,2021-08-28,17.7997592420463,17.7879,18.8431,FALSE,FALSE,FALSE,NA,FALSE,2021-08-29,17.8318290152201,FALSE,"dashed","SST"
242,2021-08-29,17.8318290152201,17.762,18.8211,FALSE,FALSE,FALSE,NA,FALSE,2021-08-30,17.5122080617137,FALSE,"dashed","SST"
243,2021-08-30,17.5122080617137,17.7337,18.8008,FALSE,FALSE,FALSE,NA,FALSE,2021-08-31,17.6552050446811,FALSE,"dashed","SST"
244,2021-08-31,17.6552050446811,17.7043,18.7787,FALSE,FALSE,FALSE,NA,FALSE,2021-09-01,17.7477918748732,FALSE,"dashed","SST"
245,2021-09-01,17.7477918748732,17.6733,18.7562,FALSE,FALSE,FALSE,NA,FALSE,2021-09-02,17.9556094285919,FALSE,"dashed","SST"
246,2021-09-02,17.9556094285919,17.6425,18.7306,FALSE,FALSE,FALSE,NA,FALSE,2021-09-03,17.9951820465456,FALSE,"dashed","SST"
247,2021-09-03,17.9951820465456,17.6098,18.7023,FALSE,FALSE,FALSE,NA,FALSE,2021-09-04,18.3660605690696,FALSE,"dashed","SST"
248,2021-09-04,18.3660605690696,17.5758,18.6711,FALSE,FALSE,FALSE,NA,FALSE,2021-09-05,18.8786110772027,FALSE,"dashed","SST"
249,2021-09-05,18.8786110772027,17.5408,18.6392,TRUE,TRUE,TRUE,127,FALSE,2021-09-06,19.4270885612391,FALSE,"dashed","SST"
250,2021-09-06,19.4270885612391,17.5042,18.604,TRUE,TRUE,TRUE,127,FALSE,2021-09-07,19.3486005916152,FALSE,"dashed","SST"
251,2021-09-07,19.3486005916152,17.4687,18.5697,TRUE,TRUE,TRUE,127,FALSE,2021-09-08,19.4999938964844,FALSE,"dashed","SST"
252,2021-09-08,19.4999938964844,17.4322,18.5323,TRUE,TRUE,TRUE,127,FALSE,2021-09-09,17.7041269453745,FALSE,"dashed","SST"
253,2021-09-09,17.7041269453745,17.3961,18.4915,FALSE,FALSE,FALSE,NA,FALSE,2021-09-10,18.2630992620764,FALSE,"dashed","SST"
254,2021-09-10,18.2630992620764,17.3605,18.4505,FALSE,FALSE,FALSE,NA,FALSE,2021-09-11,18.463615644739,FALSE,"dashed","SST"
255,2021-09-11,18.463615644739,17.3242,18.4074,TRUE,FALSE,FALSE,NA,FALSE,2021-09-12,18.5396108652091,FALSE,"dashed","SST"
256,2021-09-12,18.5396108652091,17.2879,18.3651,TRUE,FALSE,FALSE,NA,FALSE,2021-09-13,18.1650100708008,FALSE,"dashed","SST"
257,2021-09-13,18.1650100708008,17.252,18.3243,FALSE,FALSE,FALSE,NA,FALSE,2021-09-14,17.5563434879954,FALSE,"dashed","SST"
258,2021-09-14,17.5563434879954,17.2149,18.2851,FALSE,FALSE,FALSE,NA,FALSE,2021-09-15,18.6012344987425,FALSE,"dashed","SST"
259,2021-09-15,18.6012344987425,17.1783,18.246,TRUE,FALSE,FALSE,NA,FALSE,2021-09-16,18.6915800395765,FALSE,"dashed","SST"
260,2021-09-16,18.6915800395765,17.1411,18.207,TRUE,FALSE,FALSE,NA,FALSE,2021-09-17,18.401578320955,TRUE,"dashed","SST"
261,2021-09-17,18.401578320955,17.1015,18.1674,FALSE,FALSE,FALSE,NA,TRUE,2021-09-18,18.1115766023335,FALSE,"dashed","SST"
