"Raster","Target_types","Indices","y","ymin","ymax",".width",".point",".interval"
"After","Unimpacted seagrasses","SDI",0.136001417546145,-0.309534598002927,0.55951080160602,0.89,"median","qi"
"After","Impacted seagrasses","SDI",0.152641344722509,-0.185599735546016,0.508218679998214,0.89,"median","qi"
"Before","Unimpacted seagrasses","SDI",0.00712265503204373,-0.42165106919498,0.415189560061034,0.89,"median","qi"
"Before","Impacted seagrasses","SDI",-0.00232155998623744,-0.351786114805912,0.325663679746918,0.89,"median","qi"
"During","Unimpacted seagrasses","SDI",0.0332702250063373,-0.373876913515041,0.461681578144517,0.89,"median","qi"
"During","Impacted seagrasses","SDI",0.974463627213321,0.625365608042933,1.32413001489425,0.89,"median","qi"
"After","Unimpacted seagrasses","NDVI",0.206157425024711,0.161372281158217,0.249440732290058,0.89,"median","qi"
"After","Impacted seagrasses","NDVI",-0.0537823265344313,-0.0921925854863074,-0.0200991464502805,0.89,"median","qi"
"Before","Unimpacted seagrasses","NDVI",0.00039831299563492,-0.0455111799366512,0.0441775976476979,0.89,"median","qi"
"Before","Impacted seagrasses","NDVI",-0.000374625045382521,-0.0364892934217931,0.0364657280898363,0.89,"median","qi"
"During","Unimpacted seagrasses","NDVI",-0.0113958996339949,-0.0533921461357199,0.0339671793822922,0.89,"median","qi"
"During","Impacted seagrasses","NDVI",-0.307624247167881,-0.344898658601492,-0.272429494976174,0.89,"median","qi"
"After","Unimpacted seagrasses","SPC",0.27449197239747,0.216318877707611,0.337837622649489,0.89,"median","qi"
"After","Impacted seagrasses","SPC",-0.0668485886997474,-0.114646097456477,-0.0174466283885751,0.89,"median","qi"
"Before","Unimpacted seagrasses","SPC",-0.000298979754990408,-0.0601501820685014,0.0603226594528579,0.89,"median","qi"
"Before","Impacted seagrasses","SPC",-0.00154826559740237,-0.0467162777955556,0.0461597300261887,0.89,"median","qi"
"During","Unimpacted seagrasses","SPC",-0.0113786835888031,-0.0723408850395891,0.0498637795938619,0.89,"median","qi"
"During","Impacted seagrasses","SPC",-0.388304350606808,-0.434573577015019,-0.339690328565102,0.89,"median","qi"
"After","Unimpacted seagrasses","GLI",0.147682369476538,0.0551117803570361,0.233897044215822,0.89,"median","qi"
"After","Impacted seagrasses","GLI",-0.164982245191609,-0.243811347423762,-0.0917125064588492,0.89,"median","qi"
"Before","Unimpacted seagrasses","GLI",0.00163794500347773,-0.0840123461009665,0.0857096170491654,0.89,"median","qi"
"Before","Impacted seagrasses","GLI",0.00201373261740448,-0.071170863714366,0.0723006220206592,0.89,"median","qi"
"During","Unimpacted seagrasses","GLI",-0.101952605666139,-0.194126339735796,-0.00976003873041291,0.89,"median","qi"
"During","Impacted seagrasses","GLI",-0.847185684982644,-0.920121276796456,-0.769572271525709,0.89,"median","qi"
