"water_height","smooth","date"
2.52131,2.512629298475,NA
2.71038,2.71976435449739,2021-09-07 00:10:00
2.9279,2.92740001419713,2021-09-07 00:20:00
3.13022,3.13407287217794,2021-09-07 00:30:00
3.32824,3.3383195230434,2021-09-07 00:40:00
3.54516,3.5386765613972,2021-09-07 00:50:00
3.74422,3.73368058184299,2021-09-07 01:00:00
3.92349,3.92186817898441,2021-09-07 01:10:00
4.11031,4.10182088386124,2021-09-07 01:20:00
4.26237777777778,4.26984777275012,2021-09-07 01:30:00
4.43168888888889,4.42699071895425,2021-09-07 01:40:00
4.56681,4.57096215686274,2021-09-07 01:50:00
4.7153,4.7017040231272,2021-09-07 02:00:00
4.82218,4.82163874308698,2021-09-07 02:10:00
4.92926,4.92830784615384,2021-09-07 02:20:00
5.02276,5.02320677124183,2021-09-07 02:30:00
5.10235,5.10633542785319,2021-09-07 02:40:00
5.17465,5.17694677526395,2021-09-07 02:50:00
5.24017,5.23705494117647,2021-09-07 03:00:00
5.28511,5.28453770135746,2021-09-07 03:10:00
5.31554,5.32531046153846,2021-09-07 03:20:00
5.35663,5.35306619004525,2021-09-07 03:30:00
5.36191,5.36816368325792,2021-09-07 03:40:00
5.37504,5.37045295927602,2021-09-07 03:50:00
5.3607,5.36182497737556,2021-09-07 04:00:00
5.34327,5.33730939883646,2021-09-07 04:10:00
5.31801,5.304083822883,2021-09-07 04:20:00
5.2445,5.25332475414781,2021-09-07 04:30:00
5.18297,5.1863819844861,2021-09-07 04:40:00
5.1141,5.10934385778927,2021-09-07 04:50:00
5.03376,5.01884383107089,2021-09-07 05:00:00
4.91059,4.91797406722689,2021-09-07 05:10:00
4.82621428571429,4.80813651195863,2021-09-07 05:20:00
4.65991666666667,4.6918321335919,2021-09-07 05:30:00
4.55574,4.56769654298642,2021-09-07 05:40:00
4.44053,4.43494267226891,2021-09-07 05:50:00
4.29064,4.2938900870502,2021-09-07 06:00:00
4.15025,4.14739145701357,2021-09-07 06:10:00
4.00688,3.99148964188752,2021-09-07 06:20:00
3.83994,3.82809473216979,2021-09-07 06:30:00
3.65217,3.65864777375566,2021-09-07 06:40:00
3.48787,3.4770296561086,2021-09-07 06:50:00
3.29244,3.29070969230769,2021-09-07 07:00:00
3.10765,3.10325875113122,2021-09-07 07:10:00
2.89727,2.91402985520362,2021-09-07 07:20:00
2.73615,2.72479646153846,2021-09-07 07:30:00
2.52635,2.54042720361991,2021-09-07 07:40:00
2.35774,2.36159138461538,2021-09-07 07:50:00
2.18834,2.18731790045249,2021-09-07 08:00:00
2.02906,2.02173759276018,2021-09-07 08:10:00
1.86816,1.86493391855204,2021-09-07 08:20:00
1.7127,1.72003646153846,2021-09-07 08:30:00
1.58765,1.5814782081448,2021-09-07 08:40:00
1.46109,1.45762831674208,2021-09-07 08:50:00
1.34565,1.34911664253394,2021-09-07 09:00:00
1.25137,1.2554218280543,2021-09-07 09:10:00
1.1812,1.17891636199095,2021-09-07 09:20:00
1.11906,1.12275209954751,2021-09-07 09:30:00
1.06443,1.08555427149321,2021-09-07 09:40:00
1.07021,1.07006209049774,2021-09-07 09:50:00
1.09156,1.07610046153846,2021-09-07 10:00:00
1.08495,1.10138263348416,2021-09-07 10:10:00
1.14323,1.14681283257919,2021-09-07 10:20:00
1.21597,1.2116803800905,2021-09-07 10:30:00
1.29563,1.2961063800905,2021-09-07 10:40:00
1.40906,1.39744631674208,2021-09-07 10:50:00
1.50757,1.51415505882353,2021-09-07 11:00:00
1.63975,1.64944560180995,2021-09-07 11:10:00
1.80154,1.8020701719457,2021-09-07 11:20:00
1.96256,1.96572887782805,2021-09-07 11:30:00
2.13989,2.14413797285068,2021-09-07 11:40:00
2.32874,2.33390568325792,2021-09-07 11:50:00
2.5378,2.53219398190045,2021-09-07 12:00:00
2.74286,2.74164001809955,2021-09-07 12:10:00
2.95036,2.95337949321267,2021-09-07 12:20:00
3.17011,3.16848963800905,2021-09-07 12:30:00
3.38961,3.38524754751131,2021-09-07 12:40:00
3.59298,3.60113358371041,2021-09-07 12:50:00
3.81028,3.81267111312217,2021-09-07 13:00:00
4.02764,4.01773936651584,2021-09-07 13:10:00
4.20922,4.21487398190045,2021-09-07 13:20:00
4.41178,4.40286006334841,2021-09-07 13:30:00
4.58228,4.5763434841629,2021-09-07 13:40:00
4.74906,4.73853262745098,2021-09-07 13:50:00
4.88807,4.88663753846154,2021-09-07 14:00:00
5.02175,5.01867024434389,2021-09-07 14:10:00
5.13765,5.13617295324283,2021-09-07 14:20:00
5.24685,5.24195690497737,2021-09-07 14:30:00
5.32412,5.33416460633484,2021-09-07 14:40:00
5.42256666666667,5.41525511613876,2021-09-07 14:50:00
5.47682,5.4848030678733,2021-09-07 15:00:00
5.53784,5.54618323076923,2021-09-07 15:10:00
5.5897,5.5952659306184,2021-09-07 15:20:00
5.63646,5.63346205429864,2021-09-07 15:30:00
