"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"1","abas","327","Japan","Abashiri ","SWJP40","ABASHIRI","2.09","07:19","2h","10'","  [open]  ","144.29","44.02"
"2","abed","","UK","Aberdeen ","ftp","","0.9","07:00","2h","15'","  [open]  ","-2.08","57.14"
"3","abur","82","Japan","Aburatsu ","SWJP40","ABURATSU","2.51","07:19","2h","10'","  [open]  ","131.41","31.58"
"4","acaj","182","El Salvador","Acajutla SV ","SZXX01","300434064008810","2.04","07:19","2h","5'","  [open]  ","-89.838128","13.573792"
"6","acap2","267","Mexico","Acapulco API ","SOMX10","0100D7CA","4.79","07:21","2h","10'","  [open]  ","-99.903","16.8379333"
"7","acnj","220","USA","Atlantic City NJ ","web","3367B730","0.39","07:21","2h","6'","  [open]  ","-74.4183","39.355"
"8","acnj2","220","USA","Atlantic City NJ ","SXXX03","3367B730","-8.16","2024-06-07 15:02","88d","6'","  [open]  ","-74.4183","39.355"
"9","acor1","","Spain","A Coruña ","web","","2.57","2024-06-04 11:10","91d","5'","  [open]  ","-8.3988889","43.3644444"
"10","acya","267","Mexico","Acapulco Club de Yates ","ftp","","0.09","2024-09-02 15:13","18h","10'","  [open]  ","-99.90298","16.83799"
"11","adak","302","USA","Adak AK ","web","3360F60E","0.52","2024-04-19 17:30","137d","6'","  [open]  ","-176.632","51.863"
"12","adak2","302","USA","Adak AK ","SXXX03","3360F60E","-2.45","07:18","2h","6'","  [open]  ","-176.632","51.863"
"13","aden","3","Yemen","Aden ","SXXX33","3686B76A","","2024-03-20 11:11","167d","15'","  [open]  ","44.9742","12.7883"
"14","agal","","Mauritius","Agalega ","SXXX32","3246B586","3.7","2023-12-08 11:01","270d","15'","  [open]  ","56.58556167","-10.34559167"
"15","agua","","Puerto Rico","Aguadilla (Crash Boat) ","SXXX03","A4F01158","-7.21","2024-06-07 14:27","88d","6'","  [open]  ","-67.165","18.4583333"
"16","aigi","","Greece","Aigio, Western Greece ","bgan","GR-AIGI-00","0.01","09:02","8'","1'","  [open]  ","22.076850891113","38.257148742676"
"17","ajac","","France","Ajaccio ","ftp","","0.62","07:24","2h","5'","  [open]  ","8.76","41.92"
"18","ajac2","","France","Ajaccio2 ","SZFR01","FR0300","0.62","07:17","2h","6'","  [open]  ","8.76","41.92"
"19","alac1","","Spain","Alicante1 ","web","","1.04","07:20","2h","10'","  [open]  ","-0.4777778","38.3383333"
"20","alac2","","Spain","Alicante2 ","web","","1.9","07:20","2h","10'","  [open]  ","-0.4813889","38.3388889"
"22","alak2","","USA","Alitak US ","SXXX03","3363341E","-4.35","07:21","2h","6'","  [open]  ","-154.2481","56.8975"
"23","alam","","USA","Alameda CA ","web","3362E08C","1.97","07:17","2h","6'","  [open]  ","-122.298","37.772"
"25","alawa","","USA","Ala Wai Hbr ","SZXX01","US-HI-ALAWAI","0.13","07:20","2h","5'","  [open]  ","-157.841641","21.285954"
"27","albu","","Portugal","Albufeira ","bgan","ALBU","-0.58","2022-03-22 13:40","896d","1'","  [open]  ","-8.260396","37.08254"
"28","alcu","","Spain","Alcudia ","ftp","","0.66","07:22","2h","4'","  [open]  ","3.13898","39.83456"
"29","aler","333","Canada","Alert ","web","","0.59","2024-08-30 08:30","4d","10'","  [open]  ","-62.32","82.49"
"30","ales","","Norway","Ålesund ","web","","1.28","07:20","2h","10'","  [open]  ","6.151946","62.469414"
"32","alex1","","Egypt","Alexandria ","bgan","ALEX1","-3.86","2023-11-26 02:43","282d","1'","  [open]  ","29.884913","31.212396"
"33","alex2","","Egypt","Alexandria ","web","","-3.78","07:28","2h","1'","  [open]  ","29.884913","31.212396"
"34","alex3","","Egypt","alexandria ","bgan","EG-ALE3-00","4.19","09:10","","1'","  [open]  ","29.8853056","31.2124898"
"35","alge","","Spain","Algeciras ","ftp","","0.47","07:22","2h","4'","  [open]  ","-5.39838","36.177"
"36","alme","","Spain","Almeria ","ftp","","0.39","07:22","2h","4'","  [open]  ","-2.47835","36.83002"
"37","alme2","","Spain","Almería ","web","","2.53","2024-05-13 11:50","113d","10'","  [open]  ","-2.4847222","36.8322222"
"38","alofi","","Niue","Alofi Niue ","SZPS01","66570","1.08","07:26","2h","3'","  [open]  ","-169.9209","-19.0527"
"39","alva","","Mexico","Alvarado ","ftp","","5.74","07:22","2h","10'","  [open]  ","-95.75595","18.76615"
"40","alva2","","Mexico","Alvarado2 ","SOMX10","01014052","5.66","06:02","3h","1h","  [open]  ","-95.75595","18.76615"
"41","amal","","USA","Charlotte-Amalie VI ","web","3364A348","0.21","07:18","2h","6'","  [open]  ","-64.92","18.335"
"42","amal2","","USA","Charlotte-Amalie VI ","SXXX03","3364A348","-3.86","07:21","2h","6'","  [open]  ","-64.92","18.335"
"43","amas","","Turkey","Amasra ","web","","1.99","2024-08-19 09:42","15d","2'","  [open]  ","32.391750335693","41.744358062744"
"45","AN15","","Italy","Ancona ","web","","0.02","07:23","2h","5'","  [open]  ","13.506516666667","43.624766666667"
"46","anch","","USA","Anchorage AK ","web","3363B20A","5.23","07:21","2h","6'","  [open]  ","-149.888","61.238"
"47","anch2","","USA","Anchorage AK ","SXXX03","3363B20A","-1.87","07:20","2h","6'","  [open]  ","-149.888","61.238"
"48","ancu","","Chile","Ancud ","SXCH40","ADC01B9A","5.55","05:16","4h","5'","  [open]  ","-73.83288","-41.867383"
"49","ancu2","","Chile","Ancud ","web","","4.92","07:19","2h","5'","  [open]  ","-73.83288","-41.867383"
"50","ande","322","Norway","Andenes ","web","","0.64","07:20","2h","10'","  [open]  ","16.134848","69.326067"
